                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.85438,                 1.0426,                  0.864,                0.78698,                0.71011,                0.76367,                0.61243,                0.77875,                0.97065,                0.85238,             0.00023099,             0.00023099,             0.00023099
                     75,                 0.8136,                 1.0994,                0.89336,                0.80606,                0.70902,                 0.7822,                 0.6299,                0.75468,                0.92923,                0.84437,             0.00022274,             0.00022274,             0.00022274
                     76,                0.77416,                 1.0102,                0.85891,                0.80606,                0.70902,                 0.7822,                 0.6299,                0.75468,                0.92923,                0.84437,              0.0002145,              0.0002145,              0.0002145
                     77,                0.82824,                 1.0914,                0.90097,                0.81739,                0.70932,                0.79002,                 0.6303,                0.74561,                0.90035,                0.84153,             0.00020625,             0.00020625,             0.00020625
                     78,                0.82607,                 1.0376,                0.90683,                0.81739,                0.70932,                0.79002,                 0.6303,                0.74561,                0.90035,                0.84153,               0.000198,               0.000198,               0.000198
                     79,                0.85157,                 1.0832,                0.94271,                0.83563,                0.70865,                0.85552,                0.67379,                0.73141,                0.88487,                0.83748,             0.00018976,             0.00018976,             0.00018976
                     80,                0.70697,                0.97556,                0.84631,                0.83563,                0.70865,                0.85552,                0.67379,                0.73141,                0.88487,                0.83748,             0.00018151,             0.00018151,             0.00018151
                     81,                 0.8921,                 1.0576,                0.90928,                0.85467,                0.74664,                 0.8753,                0.69031,                0.70893,                0.87997,                0.83488,             0.00017326,             0.00017326,             0.00017326
                     82,                0.95498,                 1.2383,                0.91315,                0.85467,                0.74664,                 0.8753,                0.69031,                0.70893,                0.87997,                0.83488,             0.00016502,             0.00016502,             0.00016502
                     83,                 0.8211,                 1.1059,                0.87352,                0.86929,                0.75324,                 0.8753,                 0.6951,                0.69605,                0.87627,                0.83461,             0.00015677,             0.00015677,             0.00015677
                     84,                0.90747,                 1.1445,                0.88994,                0.86929,                0.75324,                 0.8753,                 0.6951,                0.69605,                0.87627,                0.83461,             0.00014852,             0.00014852,             0.00014852
                     85,                0.73899,                 1.0155,                0.86592,                 0.8752,                0.76198,                0.88086,                0.69225,                0.68816,                0.87358,                0.83597,             0.00014028,             0.00014028,             0.00014028
                     86,                0.89692,                 1.0517,                0.85537,                 0.8752,                0.76198,                0.88086,                0.69225,                0.68816,                0.87358,                0.83597,             0.00013203,             0.00013203,             0.00013203
                     87,                0.74633,                0.96244,                0.88872,                0.87539,                0.76243,                0.88103,                0.69814,                0.68524,                0.86852,                0.83609,             0.00012378,             0.00012378,             0.00012378
                     88,                0.80741,                 1.0798,                0.93982,                0.87539,                0.76243,                0.88103,                0.69814,                0.68524,                0.86852,                0.83609,             0.00011554,             0.00011554,             0.00011554
                     89,                0.86983,                 1.0037,                0.88057,                0.87435,                0.76192,                0.88316,                0.70423,                 0.6817,                0.84929,                0.83535,             0.00010729,             0.00010729,             0.00010729
                     90,                0.80092,                 1.2488,                0.85594,                0.87435,                0.76192,                0.88316,                0.70423,                 0.6817,                0.84929,                0.83535,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                  0.833,                 2.1764,                0.77632,                0.87223,                0.76503,                0.88184,                0.71192,                0.68581,                0.83462,                0.83539,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.76187,                 1.3752,                0.87506,                0.87223,                0.76503,                0.88184,                0.71192,                0.68581,                0.83462,                0.83539,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.90896,                 1.7509,                0.90075,                0.87793,                0.76414,                0.88169,                0.71912,                0.68566,                0.82905,                0.83551,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.83293,                 1.3344,                0.84922,                0.87793,                0.76414,                0.88169,                0.71912,                0.68566,                0.82905,                0.83551,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 0.8242,                 1.2301,                0.86672,                0.88257,                0.76407,                0.88147,                 0.7174,                0.68315,                0.82423,                0.83561,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.83557,                 1.3088,                0.82728,                0.88257,                0.76407,                0.88147,                 0.7174,                0.68315,                0.82423,                0.83561,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.87278,                 1.8209,                0.94431,                0.88685,                0.76407,                0.88109,                0.71158,                0.68335,                0.82069,                0.83634,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.87633,                 1.6261,                0.83662,                0.88685,                0.76407,                0.88109,                0.71158,                0.68335,                0.82069,                0.83634,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.96089,                 1.4792,                0.87787,                 0.8882,                0.76407,                0.88088,                0.70983,                  0.684,                0.81818,                0.83635,             2.4823e-05,             2.4823e-05,             2.4823e-05
